target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1655	0	0
cgd1_100-RA	3117	2843	0	0
cgd1_1000-RA	897	623	0	0
cgd1_1010-RA	727	453	1	29.0498
cgd1_1023-RA	993	719	0	0
cgd1_1040-RA	1764	1490	1	8.83192
cgd1_1050-RA	438	164	0	0
cgd1_1060-RA	3168	2894	0	0
cgd1_1063-RA	1059	785	0	0
cgd1_1070-RA	1059	785	0	0
cgd1_1080-RA	712	438	0	0
cgd1_1090-RA	2435	2161	1	6.08957
cgd1_110-RA	1510	1236	0	0
cgd1_1100-RA	3312	3038	0	0
cgd1_1110-RA	1648	1374	0	0
cgd1_1120-RA	1755	1481	0	0
cgd1_1130-RA	714	440	0	0
cgd1_1140-RA	807	533	0	0
cgd1_1150-RA	381	107.022	0	0
cgd1_1160-RA	894	620	0	0
cgd1_1170-RA	1197	923	2	28.5148
cgd1_1180-RA	2634	2360	0	0
cgd1_1190-RA	324	53.2273	0	0
cgd1_120-RA	1400	1126	0	0
cgd1_1200-RA	924	650	0	0
cgd1_1210-RA	1689	1415	0	0
cgd1_1220-RA	2277	2003	0	0
cgd1_1230-RA	3198	2924	0	0
cgd1_1240-RA	1683	1409	0	0
cgd1_1250-RA	7332	7058	0	0
cgd1_1260-RA	1119	845	0	0
cgd1_1270-RA	1215	941	0	0
cgd1_1280-RA	1383	1109	0	0
cgd1_1290-RA	801	527	3	74.9121
cgd1_130-RA	2249	1975	0	0
cgd1_1300-RA	3099	2825	0	0
cgd1_1310-RA	1297	1023	0	0
cgd1_1320-RA	567	293	0	0
cgd1_1330-RA	2424	2150	1	6.12073
cgd1_1340-RA	3072	2798	2	9.40641
cgd1_1350-RA	2313	2039	0	0
cgd1_1360-RA	546	272	0	0
cgd1_1370-RA	543	269	0	0
cgd1_1380-RA	1041	767	0	0
cgd1_1390-RA	1392	1118	0	0
cgd1_140-RA	3722	3448	0	0
cgd1_1400-RA	2889	2615	0	0
cgd1_1410-RA	1140	866	0	0
cgd1_1420-RA	1542	1268	0	0
cgd1_1433-RA	1299	1025	0	0
cgd1_1450-RA	2358	2084	0	0
cgd1_1460-RA	3153	2879	1	4.57088
cgd1_1470-RA	1998	1724	0	0
cgd1_1480-RA	684	410	0	0
cgd1_1490-RA	1668	1394	0	0
cgd1_150-RA	3125	2851	0	0
cgd1_1500-RA	955	681	0	0
cgd1_1510-RA	834	560	0	0
cgd1_1520-RA	9027	8753	26	39.0893
cgd1_1530-RA	1680	1406	0	0
cgd1_1540-RA	2034	1760	0	0
cgd1_1550-RA	1947	1673	0	0
cgd1_1560-RA	1188	914	0	0
cgd1_1570-RA	1749	1475	2	17.8435
cgd1_1580-RA	2808	2534	6	31.1592
cgd1_1590-RA	579	305	0	0
cgd1_160-RA	2986	2712	0	0
cgd1_1600-RA	393	119.005	0	0
cgd1_1610-RA	1398	1124	0	0
cgd1_1620-RA	1210	936	0	0
cgd1_1625-RA	73	4.8061	0	0
cgd1_1630-RA	928	654	0	0
cgd1_1640-RA	8906	8632	0	0
cgd1_1650-RA	402	128.001	0	0
cgd1_1660-RA	324	53.2273	1	247.233
cgd1_1670-RA	1386	1112	0	0
cgd1_1680-RA	3102	2828	0	0
cgd1_1690-RA	1983	1709	0	0
cgd1_170-RA	858	584	0	0
cgd1_1700-RA	2488	2214	0	0
cgd1_1710-RA	1348	1074	0	0
cgd1_1720-RA	5427	5153	3	7.6613
cgd1_1730-RA	1245	971	4	54.2104
cgd1_1740-RA	830	556	0	0
cgd1_1750-RA	1539	1265	0	0
cgd1_1760-RA	1196	922	0	0
cgd1_1770-RA	417	143	0	0
cgd1_1780-RA	1383	1109	0	0
cgd1_1790-RA	1983	1709	0	0
cgd1_180-RA	1587	1313	0	0
cgd1_1800-RA	1482	1208	0	0
cgd1_1810-RA	2022	1748	0	0
cgd1_1820-RA	579	305	0	0
cgd1_1830-RA	618	344	0	0
cgd1_1840-RA	2799	2525	0	0
cgd1_1850-RA	450	176	0	0
cgd1_1860-RA	1131	857	0	0
cgd1_1870-RA	1461	1187	0	0
cgd1_1880-RA	612	338	0	0
cgd1_1890-RA	681	407	0	0
cgd1_190-RA	1683	1409	0	0
cgd1_1900-RA	799	525	0	0
cgd1_1910-RA	1010	736	0	0
cgd1_1920-RA	13909	13635	0	0
cgd1_1930-RA	1476	1202	0	0
cgd1_1940-RA	558	284	0	0
cgd1_1950-RA	1242	968	0	0
cgd1_1960-RA	630	356	0	0
cgd1_1970-RA	909	635	0	0
cgd1_1980-RA	1494	1220	0	0
cgd1_1990-RA	891	617	0	0
cgd1_20-RA	1464	1190	0	0
cgd1_200-RA	549	275	0	0
cgd1_2000-RA	2094	1820	0	0
cgd1_2010-RA	1899	1625	2	16.1964
cgd1_2020-RA	621	347	0	0
cgd1_203-RA	440	166	0	0
cgd1_2030-RA	1557	1283	0	0
cgd1_2040-RA	1599	1325	1	9.93175
cgd1_2050-RA	801	527	0	0
cgd1_2060-RA	558	284	0	0
cgd1_2070-RA	1500	1226	0	0
cgd1_2080-RA	693	419	0	0
cgd1_2090-RA	1113	839	1	15.6848
cgd1_210-RA	615	341	0	0
cgd1_2100-RA	1413	1139	0	0
cgd1_2110-RA	4674	4400	0	0
cgd1_2120-RA	2790	2516	1	5.23035
cgd1_2130-RA	1923	1649	0	0
cgd1_2140-RA	846	572	0	0
cgd1_2150-RA	2070	1796	0	0
cgd1_2160-RA	2250	1976	0	0
cgd1_2170-RA	1157	883	0	0
cgd1_2180-RA	1782	1508	0	0
cgd1_2190-RA	2934	2660	0	0
cgd1_220-RA	1281	1007	0	0
cgd1_2200-RA	1374	1100	0	0
cgd1_2210-RA	360	86.2066	0	0
cgd1_2220-RA	642	368	0	0
cgd1_2230-RA	1197	923	0	0
cgd1_2240-RA	1278	1004	0	0
cgd1_2250-RA	432	158	0	0
cgd1_2260-RA	435	161	0	0
cgd1_2270-RA	324	53.2273	2	494.466
cgd1_2280-RA	558	284	0	0
cgd1_2290-RA	2043	1769	0	0
cgd1_2293-RA	237	14.8683	0	0
cgd1_230-RA	1425	1151	0	0
cgd1_2300-RA	4701	4427	0	0
cgd1_2310-RA	492	218	0	0
cgd1_2313-RA	341	68.0394	0	0
cgd1_2320-RA	1323	1049	0	0
cgd1_2330-RA	843	569	0	0
cgd1_2340-RA	546	272	0	0
cgd1_2350-RA	1680	1406	0	0
cgd1_2360-RA	915	641	0	0
cgd1_2370-RA	990	716	0	0
cgd1_2380-RA	1689	1415	0	0
cgd1_2390-RA	660	386	0	0
cgd1_240-RA	1065	791	0	0
cgd1_2400-RA	996	722	2	36.4531
cgd1_2403-RA	462	188	0	0
cgd1_2410-RA	3186	2912	0	0
cgd1_2420-RA	1173	899	0	0
cgd1_2430-RA	936	662	0	0
cgd1_2440-RA	1386	1112	0	0
cgd1_2450-RA	2748	2474	0	0
cgd1_2460-RA	573	299	0	0
cgd1_2470-RA	951	677	0	0
cgd1_2480-RA	1315	1041	2	25.2825
cgd1_2490-RA	1003	729	2	36.1031
cgd1_250-RA	1634	1360	0	0
cgd1_2500-RA	1899	1625	0	0
cgd1_2510-RA	879	605	2	43.5027
cgd1_2520-RA	321	50.8321	0	0
cgd1_2530-RA	3897	3623	0	0
cgd1_2540-RA	3567	3293	0	0
cgd1_2550-RA	537	263	0	0
cgd1_2560-RA	930	656	0	0
cgd1_2570-RA	4347	4073	0	0
cgd1_2580-RA	744	470	0	0
cgd1_2590-RA	771	497	0	0
cgd1_260-RA	1386	1112	0	0
cgd1_2600-RA	2262	1988	0	0
cgd1_2610-RA	6264	5990	0	0
cgd1_2620-RA	3035	2761	0	0
cgd1_2630-RA	1158	884	1	14.8864
cgd1_2635-RA	73	4.8061	0	0
cgd1_2640-RA	354	80.3587	0	0
cgd1_2650-RA	2604	2330	0	0
cgd1_2660-RA	543	269	0	0
cgd1_2663-RA	527	253	0	0
cgd1_2670-RA	1512	1238	0	0
cgd1_2680-RA	873	599	0	0
cgd1_2690-RA	204	10.6044	0	0
cgd1_270-RA	438	164	0	0
cgd1_2700-RA	1224	950	0	0
cgd1_2710-RA	1068	794	0	0
cgd1_2720-RA	2283	2009	0	0
cgd1_2730-RA	2082	1808	3	21.8356
cgd1_2740-RA	2586	2312	2	11.3837
cgd1_2750-RA	1896	1622	0	0
cgd1_2760-RA	1197	923	2	28.5148
cgd1_2770-RA	3846	3572	0	0
cgd1_2780-RA	1161	887	0	0
cgd1_2783-RA	740	466	1	28.2394
cgd1_2790-RA	496	222	0	0
cgd1_280-RA	1104	830	0	0
cgd1_2800-RA	522	248	0	0
cgd1_2810-RA	1648	1374	0	0
cgd1_2830-RA	1108	834	0	0
cgd1_2840-RA	4571	4297	0	0
cgd1_2850-RA	3468	3194	0	0
cgd1_2860-RA	1610	1336	0	0
cgd1_2870-RA	2079	1805	0	0
cgd1_2880-RA	1934	1660	8	63.4196
cgd1_2890-RA	2946	2672	1	4.92499
cgd1_290-RA	1500	1226	2	21.4675
cgd1_2900-RA	1773	1499	0	0
cgd1_2910-RA	420	146	0	0
cgd1_2920-RA	663	389	0	0
