target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1430	54	4.59072
cgd1_100-RA	3117	2618	35	1.62526
cgd1_1000-RA	897	398.015	538	164.326
cgd1_1010-RA	727	231.034	1192	627.226
cgd1_1023-RA	993	494	0	0
cgd1_1040-RA	1764	1265	611	58.7184
cgd1_1050-RA	438	61.6255	0	0
cgd1_1060-RA	3168	2669	335	15.2588
cgd1_1063-RA	1059	560	123.5	26.8103
cgd1_1070-RA	1059	560	123.5	26.8103
cgd1_1080-RA	712	217.243	152	85.0591
cgd1_1090-RA	2435	1936	963	60.4706
cgd1_110-RA	1510	1011	266	31.9856
cgd1_1100-RA	3312	2813	21529	930.417
cgd1_1110-RA	1648	1149	5078	537.274
cgd1_1120-RA	1755	1256	806	78.0133
cgd1_1130-RA	714	219.062	51	28.3026
cgd1_1140-RA	807	308.353	425	167.558
cgd1_1150-RA	381	49.5225	0	0
cgd1_1160-RA	894	395.017	601	184.962
cgd1_1170-RA	1197	698	2030	353.561
cgd1_1180-RA	2634	2135	6455	367.555
cgd1_1190-RA	324	40.809	0	0
cgd1_120-RA	1400	901	324	43.7163
cgd1_1200-RA	924	425.005	3004	859.27
cgd1_1210-RA	1689	1190	2307	235.681
cgd1_1220-RA	2277	1778	3225	220.507
cgd1_1230-RA	3198	2699	387	17.4314
cgd1_1240-RA	1683	1184	2206	226.505
cgd1_1250-RA	7332	6833	2371	42.1836
cgd1_1260-RA	1119	620	191	37.4511
cgd1_1270-RA	1215	716	1517	257.57
cgd1_1280-RA	1383	884	1744	239.838
cgd1_1290-RA	801	302.424	685	275.358
cgd1_130-RA	2249	1750	3740	259.811
cgd1_1300-RA	3099	2600	799	37.3591
cgd1_1310-RA	1297	798	458	69.7728
cgd1_1320-RA	567	110.346	53	58.3904
cgd1_1330-RA	2424	1925	1415	89.3612
cgd1_1340-RA	3072	2573	355	16.773
cgd1_1350-RA	2313	1814	578	38.7359
cgd1_1360-RA	546	99.7309	54	65.8245
cgd1_1370-RA	543	98.3127	42	51.9354
cgd1_1380-RA	1041	542	1113	249.643
cgd1_1390-RA	1392	893	1764	240.143
cgd1_140-RA	3722	3223	1129	42.585
cgd1_1400-RA	2889	2390	3719	189.17
cgd1_1410-RA	1140	641	438	83.0691
cgd1_1420-RA	1542	1043	17	1.98147
cgd1_1433-RA	1299	800	48	7.29415
cgd1_1450-RA	2358	1859	1007	65.8527
cgd1_1460-RA	3153	2654	1652	75.6715
cgd1_1470-RA	1998	1499	236	19.1396
cgd1_1480-RA	684	192.518	236	149.027
cgd1_1490-RA	1668	1169	625	64.9963
cgd1_150-RA	3125	2626	74	3.42579
cgd1_1500-RA	955	456.001	3058	815.258
cgd1_1510-RA	834	335.148	7367	2672.25
cgd1_1520-RA	9027	8528	2262	32.2455
cgd1_1530-RA	1680	1181	335	34.4841
cgd1_1540-RA	2034	1535	346	27.4026
cgd1_1550-RA	1947	1448	226	18.9742
cgd1_1560-RA	1188	689	1468	259.018
cgd1_1570-RA	1749	1250	637	61.9516
cgd1_1580-RA	2808	2309	5935	312.479
cgd1_1590-RA	579	116.971	130	135.11
cgd1_160-RA	2986	2487	209	10.2163
cgd1_1600-RA	393	51.744	0	0
cgd1_1610-RA	1398	899	311	42.0556
cgd1_1620-RA	1210	711	198	33.8547
cgd1_1625-RA	73	19.8391	0	0
cgd1_1630-RA	928	429.004	97	27.4874
cgd1_1640-RA	8906	8407	1262	18.2491
cgd1_1650-RA	402	53.5153	0	0
cgd1_1660-RA	324	40.809	0	0
cgd1_1670-RA	1386	887	759	104.026
cgd1_1680-RA	3102	2603	1905	88.9701
cgd1_1690-RA	1983	1484	2871	235.192
cgd1_170-RA	858	359.064	122	41.3058
cgd1_1700-RA	2488	1989	6657	406.881
cgd1_1710-RA	1348	849	102	14.6055
cgd1_1720-RA	5427	4928	1134	27.9747
cgd1_1730-RA	1245	746	2641	430.381
cgd1_1740-RA	830	331.169	99	36.342
cgd1_1750-RA	1539	1040	123	14.3779
cgd1_1760-RA	1196	697	298	51.9765
cgd1_1770-RA	417	56.6844	0	0
cgd1_1780-RA	1383	884	48	6.60104
cgd1_1790-RA	1983	1484	510	41.7792
cgd1_180-RA	1587	1088	2130	237.998
cgd1_1800-RA	1482	983	281	34.7517
cgd1_1810-RA	2022	1523	20	1.59644
cgd1_1820-RA	579	116.971	52	54.0442
cgd1_1830-RA	618	141.414	41	35.2464
cgd1_1840-RA	2799	2300	2016	106.558
cgd1_1850-RA	450	64.7425	0	0
