target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1430	6	6.77827
cgd1_100-RA	3117	2618	0	0
cgd1_1000-RA	897	398.015	27	109.589
cgd1_1010-RA	727	231.034	24	167.818
cgd1_1023-RA	993	494	0	0
cgd1_1040-RA	1764	1265	6	7.66239
cgd1_1050-RA	438	61.6255	0	0
cgd1_1060-RA	3168	2669	14	8.47389
cgd1_1063-RA	1059	560	3	8.65439
cgd1_1070-RA	1059	560	3	8.65439
cgd1_1080-RA	712	217.243	2	14.8726
cgd1_1090-RA	2435	1936	4	3.33778
cgd1_110-RA	1510	1011	1	1.59791
cgd1_1100-RA	3312	2813	399	229.143
cgd1_1110-RA	1648	1149	70	98.4196
cgd1_1120-RA	1755	1256	16	20.5795
cgd1_1130-RA	714	219.062	4	29.4982
cgd1_1140-RA	807	308.353	163	853.97
cgd1_1150-RA	381	49.5225	0	0
cgd1_1160-RA	894	395.017	35	143.138
cgd1_1170-RA	1197	698	69	159.697
cgd1_1180-RA	2634	2135	345	261.051
cgd1_1190-RA	324	40.809	0	0
cgd1_120-RA	1400	901	1	1.79299
cgd1_1200-RA	924	425.005	5	19.0055
cgd1_1210-RA	1689	1190	6	8.14531
cgd1_1220-RA	2277	1778	31	28.1665
cgd1_1230-RA	3198	2699	13	7.78115
cgd1_1240-RA	1683	1184	28	38.2041
cgd1_1250-RA	7332	6833	93	21.9875
cgd1_1260-RA	1119	620	39	101.619
cgd1_1270-RA	1215	716	136	306.852
cgd1_1280-RA	1383	884	51	93.2012
cgd1_1290-RA	801	302.424	22	117.519
cgd1_130-RA	2249	1750	4	3.69254
cgd1_1300-RA	3099	2600	19	11.8055
cgd1_1310-RA	1297	798	16	32.3907
cgd1_1320-RA	567	110.346	1	14.6402
cgd1_1330-RA	2424	1925	61	51.1921
cgd1_1340-RA	3072	2573	2	1.25572
cgd1_1350-RA	2313	1814	4	3.56226
cgd1_1360-RA	546	99.7309	4	64.7938
cgd1_1370-RA	543	98.3127	12	197.186
cgd1_1380-RA	1041	542	67	199.7
cgd1_1390-RA	1392	893	45	81.4075
cgd1_140-RA	3722	3223	0	0
cgd1_1400-RA	2889	2390	125	84.492
cgd1_1410-RA	1140	641	16	40.3242
cgd1_1420-RA	1542	1043	1	1.54888
cgd1_1433-RA	1299	800	1	2.01936
cgd1_1450-RA	2358	1859	13	11.2971
cgd1_1460-RA	3153	2654	47	28.6089
cgd1_1470-RA	1998	1499	7	7.54397
cgd1_1480-RA	684	192.518	11	92.3051
cgd1_1490-RA	1668	1169	13	17.9652
cgd1_150-RA	3125	2626	2	1.23038
cgd1_1500-RA	955	456.001	91	322.388
cgd1_1510-RA	834	335.148	248	1195.41
cgd1_1520-RA	9027	8528	45.1383	8.55069
cgd1_1530-RA	1680	1181	28	38.3011
cgd1_1540-RA	2034	1535	15	15.7865
cgd1_1550-RA	1947	1448	36	40.164
cgd1_1560-RA	1188	689	20	46.8937
cgd1_1570-RA	1749	1250	37	47.8184
cgd1_1580-RA	2808	2309	141	98.6504
cgd1_1590-RA	579	116.971	4	55.2441
cgd1_160-RA	2986	2487	1	0.649573
cgd1_1600-RA	393	51.744	0	0
cgd1_1610-RA	1398	899	21	37.7366
cgd1_1620-RA	1210	711	7	15.9049
cgd1_1625-RA	73	19.8391	0	0
cgd1_1630-RA	928	429.004	2	7.53134
cgd1_1640-RA	8906	8407	51	9.80015
cgd1_1650-RA	402	53.5153	0	0
cgd1_1660-RA	324	40.809	0	0
cgd1_1670-RA	1386	887	11	20.0342
cgd1_1680-RA	3102	2603	35	21.7219
cgd1_1690-RA	1983	1484	95	103.417
cgd1_170-RA	858	359.064	0	0
cgd1_1700-RA	2488	1989	292	237.166
cgd1_1710-RA	1348	849	2	3.80562
cgd1_1720-RA	5427	4928	127	41.6329
cgd1_1730-RA	1245	746	253	547.88
cgd1_1740-RA	830	331.169	1	4.87813
cgd1_1750-RA	1539	1040	3	4.66006
cgd1_1760-RA	1196	697	5	11.5889
cgd1_1770-RA	417	56.6844	0	0
cgd1_1780-RA	1383	884	0	0
cgd1_1790-RA	1983	1484	6	6.53162
cgd1_180-RA	1587	1088	1	1.48482
cgd1_1800-RA	1482	983	6	9.86055
cgd1_1810-RA	2022	1523	0	0
cgd1_1820-RA	579	116.971	0	0
cgd1_1830-RA	618	141.414	27	308.443
cgd1_1840-RA	2799	2300	59	41.4408
cgd1_1850-RA	450	64.7425	0	0
cgd1_1860-RA	1131	632	5	12.7808
cgd1_1870-RA	1461	962	2	3.3586
cgd1_1880-RA	612	137.362	1	11.7608
cgd1_1890-RA	681	189.96	7	59.5304
cgd1_190-RA	1683	1184	4	5.45773
cgd1_1900-RA	799	300.45	57	306.482
cgd1_1910-RA	1010	511	9	28.4528
cgd1_1920-RA	13909	13410	21	2.52985
cgd1_1930-RA	1476	977	8	13.2281
cgd1_1940-RA	558	105.647	2	30.5827
cgd1_1950-RA	1242	743	46	100.017
