target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1430	6	5.63976
cgd1_100-RA	3117	2618	4	2.0537
cgd1_1000-RA	897	398.015	1	3.37712
cgd1_1010-RA	727	231.034	47	273.444
cgd1_1023-RA	993	494	1	2.72094
cgd1_1040-RA	1764	1265	9	9.56308
cgd1_1050-RA	438	61.6255	0	0
cgd1_1060-RA	3168	2669	72	36.2602
cgd1_1063-RA	1059	560	15.5	37.204
cgd1_1070-RA	1059	560	15.5	37.204
cgd1_1080-RA	712	217.243	2	12.3746
cgd1_1090-RA	2435	1936	17	11.8029
cgd1_110-RA	1510	1011	13	17.2837
cgd1_1100-RA	3312	2813	14	6.68966
cgd1_1110-RA	1648	1149	66	77.2093
cgd1_1120-RA	1755	1256	36	38.5264
cgd1_1130-RA	714	219.062	4	24.5436
cgd1_1140-RA	807	308.353	49	213.596
cgd1_1150-RA	381	49.5225	0	0
cgd1_1160-RA	894	395.017	0	0
cgd1_1170-RA	1197	698	24	46.217
cgd1_1180-RA	2634	2135	34	21.4056
cgd1_1190-RA	324	40.809	0	0
cgd1_120-RA	1400	901	11	16.4102
cgd1_1200-RA	924	425.005	76	240.362
cgd1_1210-RA	1689	1190	77	86.974
cgd1_1220-RA	2277	1778	39	29.4835
cgd1_1230-RA	3198	2699	53	26.3948
cgd1_1240-RA	1683	1184	66	74.9269
cgd1_1250-RA	7332	6833	111	21.8352
cgd1_1260-RA	1119	620	5	10.8399
cgd1_1270-RA	1215	716	5	9.38648
cgd1_1280-RA	1383	884	356	541.307
cgd1_1290-RA	801	302.424	151	671.13
cgd1_130-RA	2249	1750	132	101.387
cgd1_1300-RA	3099	2600	18	9.30561
cgd1_1310-RA	1297	798	93	156.648
cgd1_1320-RA	567	110.346	5	60.9057
cgd1_1330-RA	2424	1925	42	29.3268
cgd1_1340-RA	3072	2573	18	9.40326
cgd1_1350-RA	2313	1814	7	5.18688
cgd1_1360-RA	546	99.7309	0	0
cgd1_1370-RA	543	98.3127	4	54.6885
cgd1_1380-RA	1041	542	28	69.4392
cgd1_1390-RA	1392	893	39	58.7028
cgd1_140-RA	3722	3223	39	16.2648
cgd1_1400-RA	2889	2390	2	1.12481
cgd1_1410-RA	1140	641	12	25.1634
cgd1_1420-RA	1542	1043	11	14.176
cgd1_1433-RA	1299	800	14	23.5225
cgd1_1450-RA	2358	1859	130	93.9961
cgd1_1460-RA	3153	2654	35	17.7261
cgd1_1470-RA	1998	1499	17	15.2438
cgd1_1480-RA	684	192.518	22	153.602
cgd1_1490-RA	1668	1169	20	22.9965
cgd1_150-RA	3125	2626	18	9.21348
cgd1_1500-RA	955	456.001	9	26.5291
cgd1_1510-RA	834	335.148	2	8.02119
cgd1_1520-RA	9027	8528	23	3.62515
cgd1_1530-RA	1680	1181	57	64.874
cgd1_1540-RA	2034	1535	166	145.36
