target_id	length	eff_length	est_counts	tpm
cgd1_10-RA	1929	1529.99	50	22.3264
cgd1_100-RA	3117	2717.99	34	8.54609
cgd1_1000-RA	897	497.987	214	293.584
cgd1_1010-RA	727	328.174	85	176.95
cgd1_1023-RA	993	593.987	24	27.6039
cgd1_1040-RA	1764	1364.99	103	51.5519
cgd1_1050-RA	438	95.9846	2	14.2352
cgd1_1060-RA	3168	2768.99	153	37.7491
cgd1_1063-RA	1059	659.987	27.5	28.4665
cgd1_1070-RA	1059	659.987	27.5	28.4665
cgd1_1080-RA	712	313.289	7	15.2647
cgd1_1090-RA	2435	2035.99	149	49.9974
cgd1_110-RA	1510	1110.99	3	1.8448
cgd1_1100-RA	3312	2912.99	275	64.4956
cgd1_1110-RA	1648	1248.99	413	225.906
cgd1_1120-RA	1755	1355.99	293	147.621
cgd1_1130-RA	714	315.271	96	208.029
cgd1_1140-RA	807	407.997	808	1352.98
cgd1_1150-RA	381	73.9033	44	406.748
cgd1_1160-RA	894	494.987	300	414.06
cgd1_1170-RA	1197	797.987	209	178.931
cgd1_1180-RA	2634	2234.99	295	90.1743
cgd1_1190-RA	324	58.2234	0	0
cgd1_120-RA	1400	1000.99	0	0
cgd1_1200-RA	924	524.987	23	29.9306
cgd1_1210-RA	1689	1289.99	3	1.58881
cgd1_1220-RA	2277	1877.99	80	29.1027
cgd1_1230-RA	3198	2798.99	111	27.0931
cgd1_1240-RA	1683	1283.99	104	55.3361
cgd1_1250-RA	7332	6932.99	347	34.1936
cgd1_1260-RA	1119	719.987	182	172.696
cgd1_1270-RA	1215	815.987	558	467.183
cgd1_1280-RA	1383	983.987	134	93.0361
cgd1_1290-RA	801	401.999	133	226.028
cgd1_130-RA	2249	1849.99	41	15.1409
cgd1_1300-RA	3099	2699.99	0	0
cgd1_1310-RA	1297	897.987	43	32.7141
cgd1_1320-RA	567	178.28	10	38.3207
cgd1_1330-RA	2424	2024.99	311	104.924
cgd1_1340-RA	3072	2672.99	72	18.4023
cgd1_1350-RA	2313	1913.99	80	28.5553
cgd1_1360-RA	546	161.678	45	190.151
cgd1_1370-RA	543	159.4	38	162.866
cgd1_1380-RA	1041	641.987	277	294.774
cgd1_1390-RA	1392	992.987	217	149.297
cgd1_140-RA	3722	3322.99	22	4.52304
cgd1_1400-RA	2889	2489.99	386	105.907
cgd1_1410-RA	1140	740.987	36	33.1916
cgd1_1420-RA	1542	1142.99	42	25.1041
cgd1_1433-RA	1299	899.987	0	0
cgd1_1450-RA	2358	1958.99	40	13.9497
cgd1_1460-RA	3153	2753.99	116	28.7761
cgd1_1470-RA	1998	1598.99	30	12.8178
cgd1_1480-RA	684	285.686	71	169.788
cgd1_1490-RA	1668	1268.99	10	5.38367
cgd1_150-RA	3125	2725.99	31	7.76916
cgd1_1500-RA	955	555.987	502	616.844
cgd1_1510-RA	834	434.99	334	524.57
cgd1_1520-RA	9027	8627.99	359.174	28.4401
cgd1_1530-RA	1680	1280.99	167	89.0651
cgd1_1540-RA	2034	1634.99	127	53.0671
cgd1_1550-RA	1947	1547.99	37	16.3294
cgd1_1560-RA	1188	788.987	85	73.6012
cgd1_1570-RA	1749	1349.99	220	111.334
cgd1_1580-RA	2808	2408.99	61	17.2994
cgd1_1590-RA	579	188.253	24	87.0973
cgd1_160-RA	2986	2586.99	11	2.90492
cgd1_1600-RA	393	77.9502	7	61.3503
cgd1_1610-RA	1398	998.987	46	31.4582
cgd1_1620-RA	1210	810.987	21	17.6906
cgd1_1625-RA	73	22.8441	0	0
cgd1_1630-RA	928	528.987	24	30.9958
cgd1_1640-RA	8906	8506.99	87	6.98682
cgd1_1650-RA	402	81.1831	5	42.0766
cgd1_1660-RA	324	58.2234	0	0
cgd1_1670-RA	1386	986.987	49	33.9173
cgd1_1680-RA	3102	2702.99	111	28.0553
cgd1_1690-RA	1983	1583.99	194	83.6731
cgd1_170-RA	858	458.988	0	0
cgd1_1700-RA	2488	2088.99	246	80.4517
cgd1_1710-RA	1348	948.987	3	2.15972
cgd1_1720-RA	5427	5027.99	860	116.853
cgd1_1730-RA	1245	845.987	1035	835.82
cgd1_1740-RA	830	430.991	6	9.51085
cgd1_1750-RA	1539	1139.99	1	0.599289
cgd1_1760-RA	1196	796.987	32	27.4306
cgd1_1770-RA	417	86.9726	13	102.117
cgd1_1780-RA	1383	983.987	0	0
cgd1_1790-RA	1983	1583.99	44	18.9774
cgd1_180-RA	1587	1187.99	0	0
cgd1_1800-RA	1482	1082.99	0	0
cgd1_1810-RA	2022	1622.99	7	2.94659
cgd1_1820-RA	579	188.253	12	43.5487
cgd1_1830-RA	618	222.707	507	1555.29
cgd1_1840-RA	2799	2399.99	664	189.015
cgd1_1850-RA	450	101.643	10	67.2139
cgd1_1860-RA	1131	731.987	95	88.6658
cgd1_1870-RA	1461	1061.99	5	3.21652
cgd1_1880-RA	612	217.23	105	330.221
cgd1_1890-RA	681	282.748	148	357.601
cgd1_190-RA	1683	1283.99	49	26.0718
cgd1_1900-RA	799	400.001	194	331.342
cgd1_1910-RA	1010	610.987	9	10.0634
cgd1_1920-RA	13909	13510	123	6.21994
cgd1_1930-RA	1476	1076.99	9	5.70911
cgd1_1940-RA	558	171.027	100	399.459
cgd1_1950-RA	1242	842.987	161	130.479
cgd1_1960-RA	630	233.817	6	17.5312
cgd1_1970-RA	909	509.987	352	471.541
cgd1_1980-RA	1494	1094.99	8	4.99134
cgd1_1990-RA	891	491.987	38	52.7674
cgd1_20-RA	1464	1064.99	26	16.6788
cgd1_200-RA	549	163.979	9	37.4964
cgd1_2000-RA	2094	1694.99	37	14.9132
cgd1_2010-RA	1899	1499.99	264	120.241
cgd1_2020-RA	621	225.465	48	145.445
cgd1_203-RA	440	96.9012	19	133.955
cgd1_2030-RA	1557	1157.99	94	55.4575
cgd1_2040-RA	1599	1199.99	1567	892.131
cgd1_2050-RA	801	401.999	73	124.06
cgd1_2060-RA	558	171.027	183	731.01
cgd1_2070-RA	1500	1100.99	91	56.4671
cgd1_2080-RA	693	294.525	24	55.6704
cgd1_2090-RA	1113	713.987	41	39.231
cgd1_210-RA	615	219.961	27	83.8597
cgd1_2100-RA	1413	1013.99	17	11.4539
cgd1_2110-RA	4674	4274.99	12	1.91771
cgd1_2120-RA	2790	2390.99	373	106.578
cgd1_2130-RA	1923	1523.99	112	50.208
cgd1_2140-RA	846	446.989	92	140.614
cgd1_2150-RA	2070	1670.99	26	10.6301
cgd1_2160-RA	2250	1850.99	0	0
cgd1_2170-RA	1157	757.987	20	18.0262
cgd1_2180-RA	1782	1382.99	0	0
cgd1_2190-RA	2934	2534.99	1	0.269501
cgd1_220-RA	1281	881.987	43	33.3075
cgd1_2200-RA	1374	974.987	196	137.339
cgd1_2210-RA	360	67.4907	7	70.8582
cgd1_2220-RA	642	245.111	252	702.381
cgd1_2230-RA	1197	797.987	299	255.983
cgd1_2240-RA	1278	878.987	175	136.017
cgd1_2250-RA	432	93.2969	4	29.2906
cgd1_2260-RA	435	94.6292	3	21.6587
cgd1_2270-RA	324	58.2234	0	0
cgd1_2280-RA	558	171.027	11	43.9405
cgd1_2290-RA	2043	1643.99	46	19.1159
cgd1_2293-RA	237	42.4328	0	0
cgd1_230-RA	1425	1025.99	178	118.526
cgd1_2300-RA	4701	4301.99	15	2.38209
cgd1_2310-RA	492	124.606	19	104.172
cgd1_2313-RA	341	62.3505	0	0
cgd1_2320-RA	1323	923.987	881	651.397
cgd1_2330-RA	843	443.989	87	133.87
cgd1_2340-RA	546	161.678	0	0
cgd1_2350-RA	1680	1280.99	72	38.3993
